"","D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
"D",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"DA1",0,4,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,2,0,0,2,1,0,1,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0
"DA2",0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"DA3",0,1,0,7,0,0,1,0,0,0,1,1,1,0,0,0,5,1,2,2,1,0,3,3,1,0,0,2,0,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
"DA4l",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"DA4m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DC1",0,0,1,1,0,0,12,1,0,0,0,3,5,0,0,0,4,0,1,1,0,0,6,4,1,0,0,2,3,1,0,0,0,0,3,1,1,2,1,1,0,1,0,1,2,0,0,0,1,2,1
"DC2",0,1,0,0,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0
"DC3",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"DC4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
