"","D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
"VL1",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"VL2a",11,9,7,0,4,0,6,7,9,2,9,5,0,3,0,1,9,3,8,3,3,3,4,4,5,9,4,5,9,7,6,10,3,4,1,4,7,17,4,3,0,40,7,3,6,1,1,12,5,3,2
"VL2p",8,9,5,0,3,0,13,10,13,2,12,6,3,0,2,5,3,5,1,3,5,10,5,10,11,8,5,9,12,3,7,10,6,8,2,6,4,13,10,5,0,9,43,2,3,1,1,11,2,6,1
"VM1",2,2,1,0,1,0,2,0,2,1,1,2,0,0,0,0,3,0,4,0,0,0,1,0,1,0,0,2,0,0,0,2,0,2,0,1,0,3,1,0,0,4,2,6,2,1,0,2,1,0,0
"VM2",3,3,1,0,0,0,5,1,1,0,5,6,2,0,1,1,7,2,8,3,1,1,5,4,4,6,3,7,3,2,1,4,1,1,1,2,4,3,0,2,0,6,3,2,17,1,0,1,3,1,0
"VM3",3,1,1,0,0,0,4,2,1,0,3,3,0,0,0,0,0,1,1,1,0,2,1,4,2,4,1,2,3,1,2,3,1,2,1,0,3,2,1,0,0,1,1,1,1,12,1,4,1,1,2
"VM4",1,1,1,0,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,3,0,0,0,0
"VM5d",7,17,3,0,1,0,18,13,9,2,15,8,4,1,3,6,9,3,6,5,4,13,5,15,7,14,10,11,12,6,5,8,8,3,6,8,11,16,9,4,0,15,11,1,1,5,0,62,11,5,7
"VM5v",4,1,0,0,0,0,5,6,1,1,1,1,3,0,1,3,2,3,1,3,1,6,3,2,0,6,3,2,4,1,1,5,4,3,3,2,1,7,2,2,0,5,2,1,2,1,0,14,16,2,1
"VM7d",2,4,2,0,1,0,4,5,4,3,9,1,0,1,0,3,2,3,2,1,1,7,3,2,2,3,3,5,2,1,2,9,2,0,3,2,0,6,3,0,0,4,4,0,1,2,0,7,2,18,1
"VM7v",0,6,2,0,0,0,7,2,1,1,4,0,1,0,0,1,1,1,1,1,0,0,1,5,2,1,2,2,7,3,0,1,5,0,1,0,4,2,2,0,0,2,1,0,0,3,0,9,1,1,11
