"","D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
"VA7m",11,19,13,0,3,3,14,11,22,7,14,2,1,1,6,14,6,7,11,11,4,25,14,11,5,2,5,7,13,8,9,25,4,84,9,10,9,19,21,10,3,6,10,0,4,10,3,32,12,1,5
"VC1",5,4,7,1,0,3,7,10,11,2,7,1,1,1,3,5,3,2,7,4,7,8,5,3,0,2,1,6,6,3,4,9,5,9,34,2,4,3,6,8,1,8,4,0,1,4,1,10,6,1,1
"VC2",4,6,3,0,1,0,7,7,15,3,11,0,1,0,1,5,6,3,5,9,6,16,9,13,2,1,0,4,10,2,2,8,2,10,2,44,5,6,9,2,1,5,2,1,2,7,2,18,6,4,5
"VC3l",8,8,2,0,1,0,4,4,10,2,8,0,0,1,2,3,3,4,2,5,7,11,10,4,0,3,5,7,9,2,5,9,1,8,4,5,40,4,7,3,0,6,3,0,2,5,0,9,5,4,4
"VC3m",12,16,6,0,2,2,11,7,17,3,11,2,2,0,2,6,7,4,6,5,2,9,7,11,2,5,2,7,11,5,10,14,4,19,3,6,4,57,16,5,1,7,11,1,1,5,6,15,13,0,3
"VC4",15,22,12,0,6,2,15,11,14,9,11,2,2,2,5,8,16,9,9,12,5,19,18,20,0,1,2,16,20,9,17,14,1,19,5,7,6,11,90,12,2,12,11,2,4,9,1,27,10,1,5
"VC5",10,10,2,0,1,0,8,4,10,2,5,0,1,1,1,3,6,3,6,9,1,7,10,8,0,0,1,5,9,3,5,11,1,11,8,2,3,5,15,40,0,9,6,0,1,2,0,12,5,1,2
"VL1",4,5,5,0,5,1,3,2,8,4,8,0,0,0,0,4,0,0,0,1,1,3,2,2,2,0,0,2,1,0,1,3,0,2,1,1,0,1,2,0,17,4,3,1,0,0,1,1,1,0,2
"VL2a",17,25,7,0,4,2,14,8,10,2,17,0,0,1,3,8,5,4,7,4,4,17,15,16,2,3,1,7,14,4,7,13,5,7,8,5,5,7,14,8,4,59,6,0,3,6,4,16,8,3,3
"VL2p",11,14,9,0,7,5,5,10,8,3,7,0,2,0,2,6,6,5,4,9,3,9,11,4,3,2,2,6,7,1,4,10,3,11,4,2,3,12,11,5,3,6,48,1,3,8,1,10,2,3,4
"VM1",0,2,2,0,3,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,2,1,4,0,0,0,2,1,0,0,0,1,0,0,1,0,1,2,0,1,0,1,7,0,1,1,0,1,0,1
"VM2",3,6,0,1,1,0,7,3,2,0,4,1,0,1,1,2,8,8,6,8,8,16,7,7,2,2,1,2,5,4,4,3,1,4,1,2,2,1,4,1,0,3,3,0,29,3,0,10,2,0,3
"VM3",2,9,1,0,1,1,9,8,7,0,6,1,1,0,0,4,15,13,9,14,10,26,8,11,2,3,2,10,8,8,5,3,3,9,4,7,5,4,8,2,0,6,7,1,3,63,1,17,8,3,4
"VM4",4,5,6,0,2,4,5,6,10,1,8,1,1,0,3,2,1,1,2,1,0,2,2,4,0,1,0,4,3,0,4,2,1,3,1,2,0,8,1,0,1,4,1,1,0,1,20,4,2,3,0
"VM5d",19,23,13,0,2,2,21,18,33,6,22,3,4,1,5,11,19,11,12,15,6,29,21,21,3,10,2,17,29,13,19,25,1,26,8,15,6,15,25,9,1,13,9,0,8,14,4,130,22,5,7
"VM5v",12,17,6,0,1,1,10,10,14,2,14,2,0,1,2,6,6,4,5,4,2,14,13,10,1,4,0,5,21,4,13,17,2,12,6,6,5,12,11,5,1,8,2,1,2,9,2,27,55,4,5
"VM7d",3,5,3,0,0,0,1,3,2,2,3,1,0,0,1,1,2,1,2,3,2,6,5,7,1,1,2,1,3,1,1,3,0,1,1,3,2,0,1,1,0,2,3,0,0,3,2,5,2,22,2
"VM7v",3,6,2,0,0,1,6,0,2,4,3,1,0,0,0,5,4,3,2,2,3,13,9,10,3,2,0,5,3,2,9,7,2,4,1,5,4,3,6,2,2,3,3,1,3,4,0,11,5,3,32
