"","D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
"D",2,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"DA1",1,10,0,0,0,0,1,1,2,0,2,0,1,1,0,1,2,1,0,0,1,3,6,1,0,0,0,1,3,1,2,0,0,0,0,2,1,1,3,0,0,0,0,0,0,0,0,6,2,0,0
"DA2",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"DA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA4l",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA4m",1,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"DC1",0,1,0,0,0,0,10,1,2,1,2,0,0,0,0,2,3,3,2,2,3,3,2,0,0,0,0,4,1,2,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,6,0,0,0
"DC2",1,1,0,0,0,1,1,10,0,0,2,0,1,0,2,0,2,0,0,2,1,2,2,1,0,1,0,0,1,0,1,1,0,2,1,1,0,1,1,0,0,0,1,0,1,1,1,0,2,0,0
"DC3",0,2,0,0,0,1,1,0,6,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,2,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"DC4",0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,2,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0
"DL1",0,1,0,0,0,1,1,2,1,0,8,0,0,0,2,0,1,0,0,0,0,1,1,2,0,0,0,3,5,0,0,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0
"DL2d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL2v",0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"DL3",0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"DL4",0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL5",0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0
"DM1",0,2,0,0,0,1,3,2,1,1,1,0,1,2,0,0,15,5,2,2,4,7,3,3,1,0,0,1,0,1,1,0,0,0,1,2,1,0,5,0,0,0,0,0,1,1,0,5,0,0,0
"DM2",0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,5,13,1,1,3,8,0,1,1,0,0,1,0,3,0,1,0,0,1,0,1,0,2,1,0,0,0,0,1,2,0,2,0,0,0
"DM3",0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,1,2,1,9,3,4,5,2,1,0,0,0,3,0,1,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,1,1,2,1,0,0
"DM4",0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,2,1,3,9,2,4,0,2,0,0,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,1,6,0,0,0
"DM5",0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,3,4,3,2,8,4,2,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"DM6",0,2,0,0,0,0,3,2,0,1,1,0,1,0,0,1,7,10,5,4,5,22,4,5,1,0,0,3,1,4,0,1,0,2,1,4,1,1,3,2,0,0,0,0,3,5,1,4,2,1,0
"DP1l",1,6,0,0,0,0,2,2,1,1,1,0,1,2,0,2,3,0,2,0,3,4,17,5,0,1,0,1,3,0,2,1,0,3,0,2,3,2,4,1,0,0,0,0,0,0,0,5,4,0,1
"DP1m",1,1,0,0,0,0,0,1,1,0,2,0,0,0,1,0,2,1,1,1,0,4,5,14,0,0,0,1,1,1,0,3,0,3,1,1,0,2,2,0,0,0,1,0,0,1,0,3,1,1,1
"V",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"VA1d",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0
"VA1v",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VA2",0,1,1,0,0,0,4,0,0,1,3,0,0,0,0,0,1,1,3,3,1,3,1,1,0,0,0,11,2,1,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,5,0,0,0
"VA3",0,3,1,0,0,0,1,1,2,0,5,0,0,0,1,0,0,0,0,0,1,1,3,1,0,1,0,2,10,0,1,0,0,3,0,2,2,1,0,0,0,1,0,0,0,0,0,2,2,0,0
"VA4",0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,4,1,1,0,4,0,2,0,0,0,1,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,3,1,1,0
"VA5",0,2,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,1,1,0,4,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,2,1,0,0
"VA6",0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,2,0,0,0,2,0,0,0,8,0,2,1,1,1,0,2,1,0,0,1,0,0,0,0,2,0,0,0
"VA7l",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VA7m",0,0,1,0,0,0,1,2,0,1,2,0,0,0,2,1,0,0,3,0,0,2,3,3,0,0,0,0,2,1,0,2,0,10,0,1,0,0,1,1,0,0,1,0,0,0,0,4,1,0,0
"VC1",0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,2,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
"VC2",0,2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,1,3,1,5,2,2,0,0,0,2,3,0,0,1,0,1,0,10,1,0,0,0,0,1,0,0,2,0,1,4,1,0,0
"VC3l",0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,2,1,3,0,0,1,0,0,2,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"VC3m",1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,0,1,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0
"VC4",0,2,0,0,0,0,1,1,0,1,0,0,1,1,0,1,4,3,0,0,0,3,3,2,0,0,0,1,0,1,1,2,0,1,0,0,0,0,9,0,0,0,1,0,0,1,0,3,0,0,0
"VC5",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"VL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VL2a",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"VL2p",1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0
"VM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VM2",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"VM3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,1,1,5,0,2,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0
"VM4",1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
