"","D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
"VA7m",1,0,0,0,0,0,3,1,0,0,1,1,2,0,0,1,2,0,2,0,4,1,4,2,0,1,0,1,2,2,1,0,3,11,0,1,1,3,2,0,0,0,2,0,0,0,0,2,0,2,0
"VC1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"VC2",0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,9,2,2,3,1,0,2,6,0,0,0,3,1,1,0,0,0,1,0,12,0,2,0,0,0,1,0,0,3,0,0,1,0,1,0
"VC3l",3,3,0,1,1,0,5,1,3,0,2,5,0,1,1,3,2,6,1,2,2,8,3,14,0,6,1,4,3,1,1,4,3,1,0,0,31,2,2,0,0,4,1,1,1,0,3,2,5,0,1
"VC3m",2,2,0,0,0,0,9,4,3,1,2,3,2,0,1,1,2,3,1,3,4,6,2,7,1,3,2,4,3,3,0,2,1,2,0,2,2,25,1,0,0,3,1,0,1,0,0,2,1,0,1
"VC4",1,1,1,0,0,0,5,2,3,0,4,2,2,0,0,0,5,3,1,4,2,2,2,7,4,2,2,3,4,7,1,0,2,2,0,0,2,1,21,0,0,0,0,0,0,0,0,3,2,0,0
"VC5",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,3,2,0,0,2,0,0,1,0,0,0,0,5,0,1,3,0,1,0,0,0,0,0,0
"VL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VL2a",0,4,0,0,0,0,8,3,3,1,2,2,0,0,1,2,2,6,3,0,1,5,3,8,0,4,2,3,2,1,0,2,1,0,1,1,4,3,0,1,0,22,4,1,1,1,0,3,2,1,0
"VL2p",2,0,0,0,2,0,4,4,0,1,4,5,1,1,0,1,0,4,2,2,0,3,1,10,3,0,3,1,4,3,1,3,1,2,1,0,1,1,0,3,0,4,19,0,4,2,0,2,0,2,1
"VM1",1,1,0,0,0,0,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,3,0,0,0
"VM2",0,0,0,1,0,0,4,0,0,0,2,1,2,0,0,0,2,2,2,8,3,3,3,6,2,0,1,4,3,4,0,2,1,0,0,4,1,1,0,1,0,1,4,0,18,3,0,1,0,0,0
"VM3",0,0,1,0,0,0,2,1,1,0,0,0,1,0,0,0,4,2,2,3,4,1,1,4,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,2,14,0,2,0,0,1
"VM4",0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"VM5d",2,3,1,0,0,0,10,4,7,0,11,6,2,2,0,2,8,5,5,3,6,7,3,14,3,7,4,5,8,4,2,7,1,2,0,1,2,3,3,0,0,2,2,2,1,2,0,42,6,2,4
"VM5v",0,2,1,0,0,0,3,0,5,0,1,3,1,0,0,2,1,2,1,1,1,1,0,6,2,1,2,3,3,0,1,3,1,0,0,0,4,1,2,0,0,2,0,0,0,0,0,5,14,0,1
"VM7d",0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,2,2,2,0,1,0,0,1,1,1,0,0,2,0,1,0,0,0,0,0,1,2,0,0,0,0,2,0,5,0
"VM7v",1,1,1,0,0,0,2,2,1,0,2,0,0,1,0,0,2,2,0,0,1,3,0,4,0,0,1,1,2,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,5,1,0,7
