"","D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
"VC2",4,5,2,1,0,1,1,1,0,0,1,0,0,1,2,2,1,2,1,3,0,1,3,1,1,2,2,0,3,1,0,1,3,4,0,12,2,1,1,0,1,1,4,1,1,2,1,1,1,0,1
"VC3l",1,4,1,0,1,1,2,4,1,0,2,0,1,0,0,1,4,2,2,1,0,3,3,5,1,0,2,1,1,3,1,1,3,3,2,2,13,2,3,0,0,3,3,1,0,2,0,2,0,3,2
"VC3m",5,5,8,0,0,0,3,6,7,2,6,0,1,0,1,2,2,1,2,3,0,5,4,4,2,1,0,1,2,1,3,8,0,2,3,1,1,21,3,4,0,1,4,0,1,2,2,1,0,0,1
"VC4",1,9,1,0,2,1,3,4,1,3,4,2,2,1,1,1,1,0,2,2,0,4,4,6,1,0,0,0,3,3,7,3,1,3,3,1,3,4,18,2,0,4,3,1,4,2,1,0,0,2,3
"VC5",5,7,2,0,0,0,1,2,3,3,6,1,0,0,1,1,0,2,1,3,1,5,3,1,0,0,0,0,2,1,3,3,2,3,2,0,0,4,1,14,0,3,5,0,1,4,0,2,0,3,1
"VL1",2,1,0,2,3,0,0,0,0,0,4,0,0,0,1,3,3,2,0,1,1,0,3,1,1,0,1,0,0,2,0,0,1,2,1,1,0,0,0,0,7,0,4,0,0,0,0,0,0,1,0
"VL2a",4,9,1,0,5,1,1,5,3,1,7,0,1,1,1,2,8,4,1,4,1,1,0,6,2,1,1,1,4,6,6,6,1,4,1,1,2,1,3,2,0,23,3,0,1,4,2,1,0,4,2
"VL2p",6,10,1,2,3,1,5,5,2,0,8,3,2,2,1,4,4,5,4,4,1,5,4,6,3,0,4,1,1,7,6,3,6,9,2,4,3,4,4,3,4,2,34,1,3,5,0,0,1,3,2
"VM1",0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,0,1,2,1,1,1,0,1,0,0,0,1,3,2,3,0,1,0,0,1
"VM2",3,3,1,0,0,0,4,0,1,0,5,0,1,2,0,1,3,1,3,3,1,2,2,1,2,0,0,0,0,4,2,0,1,4,1,1,0,2,3,1,0,1,3,1,12,3,0,0,0,1,0
"VM3",2,5,2,0,0,0,2,3,4,1,4,0,1,0,1,1,2,1,4,5,1,2,3,8,1,3,0,1,1,4,3,4,1,3,2,2,1,3,2,3,0,3,4,1,2,21,1,0,0,2,5
"VM4",1,2,6,0,1,0,1,1,1,0,2,1,0,3,0,2,0,1,1,1,0,0,0,2,0,1,0,0,1,2,1,2,0,2,0,1,0,2,1,0,0,2,0,0,0,1,7,0,0,1,0
"VM5d",2,3,3,1,0,0,1,2,2,1,6,0,1,0,1,1,1,2,2,7,0,2,2,3,0,1,2,0,1,5,3,1,2,2,2,1,2,1,0,2,0,1,0,1,0,0,0,10,1,3,0
"VM5v",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,2,0,0,1,1,0,2,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0
"VM7d",2,3,1,1,2,0,1,2,2,2,6,1,1,0,1,4,4,2,4,5,0,4,3,5,1,2,0,1,3,5,3,2,4,3,2,0,4,0,3,3,1,6,4,0,1,2,1,3,0,16,0
"VM7v",0,2,0,0,0,1,1,3,3,0,5,0,0,0,1,0,2,0,0,3,0,2,2,4,1,1,0,1,0,2,5,2,1,1,1,1,2,2,3,2,0,2,2,1,0,7,0,0,0,0,10
