"","D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
"DL1",0,0,1,0,0,0,1,0,1,0,10,0,0,0,0,0,1,2,0,0,2,2,1,3,2,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,2,0,2,1,0,0,0,0,0
"DL2d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL2v",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
"DL3",0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"DL4",0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DL5",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DM1",0,0,0,1,1,0,3,1,0,0,1,0,1,0,0,0,27,9,2,5,5,3,5,5,3,0,0,3,0,7,0,0,0,0,0,2,1,1,1,0,0,0,1,0,1,9,0,0,0,4,1
"DM2",0,0,1,2,1,1,4,1,0,0,3,0,1,0,1,0,8,22,4,7,2,2,2,5,3,0,0,0,0,4,1,0,0,0,0,1,0,0,2,0,0,0,0,0,2,7,0,0,0,1,0
"DM3",0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,2,5,5,0,0,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0
"DM4",0,1,0,0,0,0,4,1,0,0,0,0,1,1,0,0,5,8,0,14,1,0,2,4,0,0,0,2,0,2,0,1,0,0,0,1,2,0,2,0,0,0,0,0,2,5,0,0,0,0,0
"DM5",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,2,0,1,8,1,2,3,2,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"DM6",0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,4,3,1,0,2,6,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,1,0,0,0,2,1
"DP1l",0,2,2,0,1,0,1,2,0,0,2,0,0,0,0,1,6,2,0,2,2,0,12,3,1,0,0,2,0,1,1,2,0,1,1,2,1,1,1,0,0,0,1,0,1,3,0,0,0,1,1
"DP1m",0,1,0,1,1,1,2,0,0,0,3,0,0,0,0,0,4,4,1,3,3,0,3,16,2,0,0,3,0,2,0,1,0,1,0,0,3,0,0,0,0,0,1,0,1,3,0,0,0,0,0
"V",0,0,1,1,2,1,3,2,0,0,3,0,0,0,0,0,3,4,2,0,2,0,1,2,12,0,0,0,1,2,1,0,0,1,2,0,2,0,2,1,0,0,0,0,0,9,0,0,0,0,0
