"kc.bodyId","kc.instance","kc.type","nb.cluster","kc.largetype","nclaw","npostsyn"
"362689128","KCab-s_R","kcabs","c","alphabeta",7,108
"5813068969","KCg-m_R","kcg","c","gamma",7,150
"753489735","KCab-c_R","kcabc","c","alphabeta",6,50
"5812982492","KCg-m_R","kcg","c","gamma",9,182
"5813055914","KCab-s_R","kcabs","b","alphabeta",6,119
"631400622","KCg-m_R","kcg","d","gamma",10,213
"5813022175","KCab-m_R","kcabm","c","alphabeta",6,99
"5813067795","KCg-m_R","kcg","d","gamma",8,152
"363716362","KCab-m_R","kcabm","c","alphabeta",4,102
"754538763","KCab-c_R","kcabc","b","alphabeta",5,22
"633148704","KCg-m_R","kcg","a","gamma",7,176
"663493162","KCg-m_R","kcg","a","gamma",13,187
"972128731","KCg-m_R","kcg","a","gamma",7,123
"1173347968","KCa'b'-ap2_R","kcabprimeap2","b","alphaprimebetaprime",3,37
"736126732","KCab-m_R","kcabm","a","alphabeta",4,81
"363038752","KCab-c_R","kcabc","a","alphabeta",4,42
"5812979016","KCg-m_R","kcg","b","gamma",6,151
"940425171","KCab-s_R","kcabs","a","alphabeta",5,101
"363375247","KCab-c_R","kcabc","b","alphabeta",4,26
"5812980397","KCab-s_R","kcabs","b","alphabeta",6,62
"5812980597","KCab-c_R","kcabc","b","alphabeta",4,39
"5812980537","KCg-m_R","kcg","b","gamma",9,133
"724142845","KCg-m_R","kcg","c","gamma",7,121
"5812979015","KCg-m_R","kcg","a","gamma",8,140
"1077851524","KCab-c_R","kcabc","c","alphabeta",5,68
"301318641","KCab-c_R","kcabc","a","alphabeta",4,56
"5812982547","KCg-t_R","kcgt","a","gamma",1,51
"488533722","KCab-s_R","kcabs","c","alphabeta",6,101
"5812981924","KCg-m_R","kcg","b","gamma",7,164
"5812981971","KCab-s_R","kcabs","d","alphabeta",5,99
"768525608","KCa'b'-ap2_R","kcabprimeap2","c","alphaprimebetaprime",5,117
"5812982426","KCab-m_R","kcabm","d","alphabeta",4,84
"509264220","KCg-m_R","kcg","d","gamma",8,197
"1420966843","KCab-s_R","kcabs","c","alphabeta",6,83
"662711769","KC part due to gap","unknown","d","unknown",5,95
"5812980569","KCab-c_R","kcabc","c","alphabeta",5,113
"753489892","KCab-c_R","kcabc","c","alphabeta",6,37
"5813022060","KCg-m_R","kcg","c","gamma",11,208
"569278689","KC part due to gap","unknown","d","unknown",1,20
"5901193485","KCg-m_R","kcg","c","gamma",10,158
"5813093014","KCg-m_R","kcg","d","gamma",7,204
"5813033059","KCg-m_R","kcg","b","gamma",9,145
"1078534115","KCab-s_R","kcabs","c","alphabeta",6,103
"693116214","KC part due to gap","unknown",NA,"unknown",6,35
"570997147","KCg-m_R","kcg","d","gamma",10,171
"5813057227","KCa'b'-m_R","kcabprimem","d","alphaprimebetaprime",6,69
"5812981970","KCab-c_R","kcabc","d","alphabeta",7,63
"363384090","KCab-m_R","kcabm","d","alphabeta",4,79
"1079215685","KCa'b'-ap2_R","kcabprimeap2","d","alphaprimebetaprime",7,104
"860266309","KCab-m_R","kcabm","d","alphabeta",6,114
"549576117","KCab-m_R","kcabm","c","alphabeta",4,89
"5812981581","KCa'b'-ap2_R","kcabprimeap2","d","alphaprimebetaprime",6,57
"5812982529","KCg-m_R","kcg","d","gamma",9,191
"785198372","KCab-m_R","kcabm","d","alphabeta",6,106
"1016459595","KCab-m_R","kcabm","d","alphabeta",4,94
"364070517","KCab-m_R","kcabm","c","alphabeta",5,85
"425104113","KCab-m_R","kcabm","d","alphabeta",3,63
"5812980599","KCab-m_R","kcabm","d","alphabeta",6,95
"5812981136","KCab-s_R","kcabs","c","alphabeta",5,80
"631728731","KC part due to gap","unknown",NA,"unknown",5,83
"1047835635","KCa'b'-m_R","kcabprimem","d","alphaprimebetaprime",5,101
"693116396","KCab-c_R","kcabc","d","alphabeta",5,36
"478250407","KCg-m_R","kcg","d","gamma",11,190
"5813077582","KCa'b'-ap2_R","kcabprimeap2","d","alphaprimebetaprime",5,93
"548553386","KCa'b'-m_R","kcabprimem","d","alphaprimebetaprime",4,78
"426139965","KCab-s_R","kcabs","d","alphabeta",5,111
"704750766","KCab-m_R","kcabm","d","alphabeta",9,116
"5813035558","KCab-s_R","kcabs","d","alphabeta",7,90
"5812982145","KCa'b'-m_R","kcabprimem","c","alphaprimebetaprime",4,92
"5813032782","KCg-m_R","kcg","c","gamma",13,168
"5812981961","KCa'b'-ap2_R","kcabprimeap2","d","alphaprimebetaprime",4,112
"753489951","KCab-c_R","kcabc","c","alphabeta",8,98
"599674785","KCab-m_R","kcabm","c","alphabeta",5,88
"662409505","KCa'b'-m_R","kcabprimem","d","alphaprimebetaprime",8,76
"754154720","KC part due to gap","unknown",NA,"unknown",3,43
"723810015","KC part due to gap","unknown",NA,"unknown",3,17
"601302278","KC part due to gap","unknown","d","unknown",4,56
"394759626","KCab-c_R","kcabc","d","alphabeta",6,76
"631400693","KCg-m_R","kcg","c","gamma",10,182
"5813021303","KCab-s_R","kcabs","d","alphabeta",7,99
"5812983427","KCab-c_R","kcabc","b","alphabeta",5,67
"5813068743","KCab-s_R","kcabs","b","alphabeta",6,82
"5812980618","KCab-s_R","kcabs","b","alphabeta",6,87
"5812982876","KCg-m_R","kcg","b","gamma",6,154
"724531411","KCg-m_R","kcg","a","gamma",10,170
"754202022","KCg-m_R","kcg","b","gamma",7,143
"815926323","KCab-c_R","kcabc","b","alphabeta",3,34
"1141342299","KCg-m_R","kcg","a","gamma",9,143
"1172363878","KCg-m_R","kcg","b","gamma",9,159
"5813110639","KCg-m_R","kcg","b","gamma",10,163
"5812980931","KCab-s_R","kcabs","c","alphabeta",5,73
"633144545","KCg-m_R","kcg","a","gamma",7,138
"939742609","KCab-c_R","kcabc","a","alphabeta",6,54
"1327494939","KCab-s_R","kcabs","a","alphabeta",6,83
"662452625","KCg-m_R","kcg","a","gamma",6,130
"5812982371","KCg-m_R","kcg","b","gamma",8,150
"909730907","KCab-s_R","kcabs","a","alphabeta",8,94
"5813047676","KCa'b'-ap2_R","kcabprimeap2","b","alphaprimebetaprime",5,59
"662461539","KCg-m_R","kcg","a","gamma",8,151
"456808311","KCab-s_R","kcabs","a","alphabeta",5,51
"477909679","KCg-m_R","kcg","d","gamma",10,153
"540730639","KCg-m_R","kcg","a","gamma",7,129
"798192162","KCab-c_R","kcabc","a","alphabeta",4,70
"847293869","KCab-s_R","kcabs","b","alphabeta",8,95
"363725228","KCab-m_R","kcabm","c","alphabeta",4,64
"5812982589","KCg-m_R","kcg","d","gamma",8,139
"1068613231","KCg-m_R","kcg","a","gamma",7,177
"661084049","KCg-m_R","kcg","c","gamma",9,177
"5812981327","KCa'b'-ap2_R","kcabprimeap2","d","alphaprimebetaprime",6,111
"1141337518","KCg-m_R","kcg","c","gamma",9,136
"985429128","KCab-m_R","kcabm","d","alphabeta",4,98
"664141134","KCg-m_R","kcg","c","gamma",8,134
"632397780","KCg-m_R","kcg","d","gamma",9,161
"705091521","KCab-m_R","kcabm","d","alphabeta",6,77
"5813084692","KCg-m_R","kcg","c","gamma",10,188
"756567539","KCab-m_R","kcabm","d","alphabeta",5,80
"5813020047","KCa'b'-ap2_R","kcabprimeap2","c","alphaprimebetaprime",6,72
"569650323","KCg-m_R","kcg","c","gamma",6,129
"630377642","KCab-m_R","kcabm","c","alphabeta",4,60
