"kc.bodyId","kc.instance","kc.type","nb.cluster","kc.largetype","nclaw","npostsyn"
"5813056372","KCa'b'-m_R","kcabprimem","d","alphaprimebetaprime",4,70
"415511327","KCg-m_R","kcg","d","gamma",7,162
"549567614","KCa'b'-ap2_R","kcabprimeap2","d","alphaprimebetaprime",4,57
"724138359","KC part due to gap","unknown",NA,"unknown",3,64
"5813116530","KC part due to gap","unknown",NA,"unknown",5,31
"5813035612","KCg-m_R","kcg","b","gamma",6,158
"5813060798","KCg-m_R","kcg","b","gamma",6,109
"5812983101","KCg-m_R","kcg","b","gamma",9,164
"301314150","KCab-c_R","kcabc","b","alphabeta",4,62
"1173063302","KCg-m_R","kcg","b","gamma",6,107
"5812983200","KCg-m_R","kcg","b","gamma",9,177
"5813033277","KCab-m_R","kcabm","b","alphabeta",5,69
"722471778","KCg-m_R","kcg","c","gamma",9,116
"5813033267","KCab-m_R","kcabm","b","alphabeta",4,73
"5813021464","KCab-s_R","kcabs","b","alphabeta",5,89
"815926346","KCab-c_R","kcabc","b","alphabeta",3,50
"767502639","KCab-c_R","kcabc","b","alphabeta",6,24
"859925004","KCab-m_R","kcabm","a","alphabeta",5,59
"5813058215","KCa'b'-ap2_R","kcabprimeap2","b","alphaprimebetaprime",3,32
"846616159","KCab-m_R","kcabm","b","alphabeta",5,89
"5813078179","KCa'b'-ap2_R","kcabprimeap2","b","alphaprimebetaprime",5,52
"5813057239","KCa'b'-m_R","kcabprimem","b","alphaprimebetaprime",5,75
"364070309","KCab-c_R","kcabc","b","alphabeta",3,15
"754525744","KCa'b'-ap2_R","kcabprimeap2","b","alphaprimebetaprime",3,43
"5813079174","KCab-m_R","kcabm","b","alphabeta",5,58
"846616006","KCab-c_R","kcabc","b","alphabeta",3,21
"815585355","KCab-c_R","kcabc","b","alphabeta",3,31
"332353336","KCab-m_R","kcabm","b","alphabeta",6,80
"704750475","KCab-s_R","kcabs","a","alphabeta",5,80
"1129323248","KCg-m_R","kcg","c","gamma",10,197
"5812983043","KCg-m_R","kcg","c","gamma",5,120
"631051057","KCg-m_R","kcg","d","gamma",11,208
"631737380","KCg-m_R","kcg","c","gamma",8,160
"1130687130","KCab-s_R","kcabs","d","alphabeta",8,121
"5813060774","KCa'b'-ap2_R","kcabprimeap2","d","alphaprimebetaprime",6,96
"5812982374","KCab-s_R","kcabs","c","alphabeta",6,92
"662089919","KC part due to gap","unknown",NA,"unknown",4,72
"5812981401","KCa'b'-m_R","kcabprimem","d","alphaprimebetaprime",6,90
