"D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
0.3563,1.0173,0.9025,0.1831,0.1736,0.1201,0.77,0.7269,0.5388,0.1202,0.9782,7.0886,0.2351,0.1812,0.1795,0.4839,0.8994,0.836,0.3038,0.8458,0.6655,0.6174,0.43,1.0473,1.1307,0.2418,0.2367,0.4291,0.4268,0.3473,0.4661,0.5452,0.2513,1.0209,0.362,0.3564,0.3553,0.8448,0.6106,0.3522,0.3548,0.4217,0.4869,0.1195,0.4194,0.4234,0.2951,0.8479,0.6611,0.4845,0.421
0.1317,0.3889,0.3404,0.0703,0.0691,0.0453,0.2819,0.2642,0.2128,0.0453,0.3634,0.2445,2.5978,0.0694,0.0663,0.1768,0.3526,0.3212,0.1184,0.3124,0.2574,0.2208,0.1617,0.3819,0.4317,0.0934,0.0889,0.1488,0.1556,0.1342,0.1766,0.2072,0.0914,0.3968,0.1383,0.134,0.1404,0.3145,0.2248,0.1338,0.1366,0.1616,0.1802,0.0462,0.1546,0.1565,0.1145,0.3236,0.2519,0.1808,0.1552
0.0992,0.2956,0.2507,0.0525,0.0461,0.0355,0.2249,0.2029,0.1529,0.0325,0.2825,0.1866,0.0706,1.9536,0.0495,0.1398,0.2506,0.238,0.0879,0.2451,0.1921,0.1638,0.1168,0.2907,0.3344,0.0691,0.0691,0.1187,0.1176,0.1088,0.1328,0.1585,0.0702,0.2852,0.1028,0.1025,0.1,0.2426,0.1685,0.1057,0.1079,0.1222,0.1342,0.0347,0.1193,0.1232,0.0922,0.2407,0.1914,0.1378,0.1248
0.1009,0.2898,0.2601,0.0487,0.054,0.0332,0.2205,0.2028,0.1524,0.0326,0.2832,0.1849,0.0665,0.0497,1.9425,0.1366,0.2663,0.2429,0.0827,0.239,0.1872,0.1689,0.1136,0.2841,0.3248,0.0706,0.0695,0.124,0.1178,0.0981,0.132,0.1596,0.0714,0.2932,0.102,0.1001,0.099,0.2393,0.1667,0.1051,0.105,0.1195,0.1337,0.0335,0.1167,0.1181,0.0861,0.2407,0.1946,0.1249,0.1134
0.2707,0.7413,0.6761,0.1376,0.1314,0.0868,0.5773,0.5337,0.398,0.0896,0.7057,0.4875,0.1731,0.137,0.133,5.1721,0.6788,0.6278,0.2214,0.6257,0.4886,0.4426,0.3052,0.7579,0.8383,0.1773,0.1751,0.3076,0.315,0.2715,0.3575,0.4012,0.1828,0.7643,0.2646,0.2665,0.2618,0.6152,0.4477,0.2641,0.2558,0.3065,0.3542,0.0886,0.3083,0.3039,0.2251,0.6392,0.4937,0.3581,0.3218
0.4873,1.396,1.2546,0.2453,0.2478,0.1701,1.0467,0.9736,0.7375,0.1612,1.297,0.8838,0.3356,0.2381,0.2546,0.6617,9.7393,1.1279,0.4145,1.146,0.8936,0.813,0.5669,1.3817,1.5417,0.3296,0.33,0.5869,0.5595,0.5063,0.647,0.7357,0.3341,1.4046,0.4985,0.4941,0.4846,1.1241,0.8163,0.4911,0.4833,0.5803,0.6627,0.1619,0.5658,0.562,0.4014,1.1219,0.8938,0.6412,0.5662
0.4646,1.2905,1.1379,0.2278,0.2289,0.1499,0.9984,0.9073,0.6905,0.1534,1.2327,0.8261,0.3092,0.228,0.2329,0.6121,1.1297,9.0672,0.383,1.0708,0.8212,0.7696,0.5335,1.3082,1.4587,0.3001,0.3084,0.5409,0.5181,0.4721,0.604,0.689,0.3097,1.2935,0.4677,0.4649,0.4654,1.0598,0.7631,0.4635,0.4504,0.5298,0.5973,0.1514,0.528,0.5137,0.3823,1.0684,0.8402,0.6085,0.5227
0.1638,0.4872,0.4214,0.0902,0.0871,0.0545,0.3587,0.3461,0.258,0.0577,0.4462,0.3113,0.1185,0.087,0.0812,0.2254,0.4302,0.3977,3.2485,0.3895,0.3116,0.2854,0.1999,0.4855,0.5361,0.1144,0.1085,0.2003,0.1911,0.1698,0.2172,0.2514,0.1148,0.4873,0.1733,0.174,0.171,0.3871,0.2826,0.1632,0.166,0.1984,0.2262,0.0592,0.2021,0.1948,0.1416,0.3971,0.3094,0.2273,0.2
0.4538,1.2964,1.1404,0.231,0.2235,0.1506,0.9833,0.9011,0.6918,0.1587,1.2081,0.8387,0.2985,0.2342,0.2291,0.6151,1.1502,1.0669,0.3739,9.0144,0.8294,0.7535,0.5269,1.2724,1.4309,0.3018,0.304,0.5327,0.5231,0.4596,0.6074,0.6826,0.307,1.2948,0.4487,0.4579,0.4508,1.0289,0.764,0.4705,0.4554,0.5327,0.6073,0.1461,0.5259,0.5351,0.3785,1.0502,0.8429,0.5954,0.5345
0.3565,1.0293,0.9016,0.188,0.1856,0.1239,0.7876,0.7195,0.5352,0.1177,0.9925,0.6608,0.2508,0.186,0.182,0.482,0.9096,0.8326,0.3046,0.8399,7.0985,0.6006,0.4221,1.0387,1.1395,0.237,0.239,0.4184,0.4122,0.3559,0.4677,0.5367,0.2351,1.0424,0.3759,0.3611,0.3592,0.839,0.5977,0.3654,0.3637,0.4311,0.4839,0.1159,0.4188,0.4258,0.3008,0.8175,0.6534,0.4931,0.4234
