"D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
1.489,4.2844,3.7962,0.7639,0.7651,0.5021,3.3022,3.0223,2.2821,0.5035,4.0543,26.0436,1.0157,0.7689,0.7616,2.0196,3.7839,3.5319,1.2579,3.5257,2.7729,2.5078,1.756,4.2583,4.7557,1.0154,1.0016,1.7346,1.7503,1.5111,2.0171,2.2785,0.9995,4.2836,1.5166,1.511,1.5123,3.5279,2.5376,1.5264,1.5077,1.7786,2.0146,0.5008,1.746,1.7557,1.2593,3.5443,2.7764,2.0238,1.7667
0.575,1.5879,1.4302,0.294,0.2845,0.1891,1.2156,1.152,0.8501,0.1846,1.502,1.0525,9.4755,0.2736,0.2844,0.7616,1.4415,1.3319,0.4786,1.3238,1.0311,0.9266,0.6544,1.5978,1.8109,0.3832,0.38,0.6633,0.6636,0.5681,0.7688,0.8432,0.3703,1.6084,0.564,0.5705,0.5654,1.3418,0.9457,0.5703,0.5632,0.6555,0.7795,0.1815,0.6538,0.6642,0.4783,1.3178,1.0571,0.7595,0.6535
0.4302,1.1938,1.06,0.2134,0.2197,0.139,0.9349,0.8675,0.6408,0.1417,1.148,0.7991,0.2755,7.1255,0.2143,0.5747,1.0847,0.9949,0.3568,0.9998,0.7946,0.7229,0.4974,1.2084,1.3881,0.2905,0.2821,0.5007,0.4978,0.429,0.5784,0.6448,0.2818,1.198,0.4273,0.4373,0.4404,1.0113,0.7224,0.4224,0.4249,0.4981,0.5826,0.1443,0.498,0.5074,0.3623,1.0004,0.7745,0.5702,0.501
0.4308,1.2286,1.0843,0.2118,0.209,0.1378,0.9339,0.8805,0.6478,0.1378,1.1435,0.7895,0.2862,0.215,7.1394,0.5715,1.0564,0.9998,0.359,1.0193,0.7722,0.7084,0.5034,1.2165,1.3641,0.3028,0.2773,0.4995,0.4949,0.4277,0.5728,0.6334,0.2832,1.2175,0.4318,0.4385,0.4271,1.0127,0.7078,0.4282,0.4324,0.5038,0.5676,0.137,0.5116,0.5008,0.3637,1.0011,0.7831,0.5759,0.511
1.1055,3.1728,2.785,0.5555,0.5609,0.369,2.4118,2.2544,1.6646,0.3681,3.0045,2.0371,0.7481,0.5626,0.5592,18.9989,2.7876,2.6057,0.9342,2.6285,2.026,1.8824,1.2999,3.1541,3.5274,0.7497,0.7515,1.2998,1.3073,1.1167,1.4928,1.6716,0.7565,3.1514,1.1005,1.1048,1.0933,2.6078,1.8496,1.122,1.1133,1.2816,1.4975,0.3719,1.3041,1.3057,0.937,2.5874,2.0405,1.4764,1.3026
2.0011,5.7804,5.072,1.0084,1.0211,0.6865,4.3688,4.0468,3.0511,0.6521,5.4463,3.7186,1.3712,1.0262,0.9991,2.7034,35.5946,4.7398,1.6926,4.7177,3.7137,3.3932,2.376,5.7649,6.4438,1.3624,1.3692,2.3601,2.3545,2.0431,2.7151,3.0323,1.3514,5.7218,2.0087,2.035,2.0098,4.7412,3.3833,2.0605,2.0591,2.3659,2.7439,0.6898,2.3452,2.356,1.6988,4.7829,3.7345,2.7178,2.3776
1.8968,5.4245,4.7551,0.9597,0.9717,0.6482,4.1417,3.8052,2.8786,0.6392,5.0764,3.4962,1.2781,0.9482,0.9487,2.5401,4.7694,33.2531,1.5826,4.4648,3.5163,3.177,2.2278,5.3857,6.0519,1.261,1.2742,2.2119,2.1926,1.9208,2.5431,2.8209,1.2678,5.4008,1.9112,1.9066,1.911,4.4653,3.1766,1.9127,1.9249,2.209,2.5525,0.6365,2.2315,2.2212,1.5902,4.4415,3.4749,2.5332,2.2319
0.7117,2.0039,1.7466,0.352,0.3541,0.2391,1.5462,1.4097,1.0651,0.2399,1.8741,1.2893,0.4755,0.3514,0.3571,0.9499,1.7588,1.6488,11.8879,1.6439,1.3044,1.1816,0.8137,2.036,2.2576,0.4862,0.4723,0.829,0.8323,0.7186,0.9544,1.0754,0.4662,1.9963,0.7089,0.7061,0.6997,1.6317,1.191,0.7014,0.7264,0.8169,0.9434,0.2391,0.8143,0.8461,0.5797,1.6526,1.29,0.9413,0.8298
1.9075,5.4411,4.7787,0.942,0.956,0.6311,4.127,3.8523,2.8421,0.6278,5.0997,3.4735,1.2677,0.9563,0.9692,2.5624,4.7557,4.4651,1.5786,33.273,3.4791,3.1748,2.2296,5.4075,6.0689,1.307,1.2787,2.2394,2.2039,1.9108,2.5523,2.8478,1.2438,5.444,1.9175,1.8924,1.8938,4.4601,3.1745,1.9015,1.8811,2.2189,2.5525,0.6523,2.232,2.2228,1.6011,4.4211,3.4805,2.5297,2.2258
1.5179,4.304,3.7463,0.7505,0.7684,0.5084,3.2912,3.022,2.2744,0.5012,4.0232,2.7662,1.0063,0.7659,0.7468,2.0063,3.7777,3.5646,1.2699,3.5302,26.0684,2.5405,1.771,4.2513,4.8192,1.009,1.0042,1.7695,1.7596,1.5079,2.0246,2.265,1.004,4.336,1.5016,1.521,1.4967,3.5384,2.5404,1.5266,1.5256,1.7428,2.0168,0.5008,1.7546,1.7785,1.2628,3.5229,2.7747,2.0039,1.7636
