"D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
1.3322,3.7629,3.3425,0.6633,0.6648,0.4381,2.8755,2.6841,1.9948,0.4389,3.5196,24.5287,0.8813,0.6603,0.6601,1.7613,3.3447,3.1061,1.1094,3.0819,2.444,2.2302,1.5447,3.7367,4.2283,0.885,0.882,1.5491,1.5452,1.3217,1.7632,1.9861,0.8796,3.7454,1.3231,1.3274,1.3203,3.0978,2.222,1.3224,1.3334,1.5546,1.7647,0.4347,1.539,1.553,1.1254,3.0949,2.4485,1.7595,1.5697
0.4991,1.4208,1.2508,0.2458,0.2436,0.1712,1.0733,0.9921,0.7336,0.1668,1.3269,0.9017,8.9403,0.2546,0.245,0.6542,1.2499,1.152,0.423,1.1714,0.9031,0.828,0.5834,1.4107,1.574,0.3262,0.3293,0.5817,0.58,0.4985,0.6619,0.7199,0.325,1.4016,0.5103,0.5006,0.5061,1.1685,0.8224,0.4975,0.517,0.5727,0.662,0.1662,0.5828,0.5836,0.4253,1.1695,0.9104,0.6525,0.5798
0.3708,1.0531,0.9398,0.1915,0.1891,0.1257,0.8003,0.7542,0.5664,0.1218,1.0033,0.6811,0.2544,6.7156,0.1847,0.497,0.9562,0.8822,0.3085,0.8816,0.6858,0.6256,0.433,1.0692,1.1675,0.2502,0.2544,0.4315,0.4305,0.3808,0.5049,0.5637,0.2543,1.0674,0.3777,0.3787,0.3781,0.8697,0.6103,0.3695,0.3826,0.4363,0.5005,0.1265,0.4358,0.4393,0.3209,0.8713,0.6986,0.5021,0.4388
0.3631,1.0685,0.9414,0.184,0.1891,0.1202,0.8195,0.7412,0.5701,0.1269,1.0169,0.6786,0.2447,0.1845,6.6873,0.4977,0.9244,0.8843,0.3071,0.879,0.6898,0.6289,0.4341,1.0518,1.1842,0.2515,0.2448,0.444,0.437,0.374,0.4962,0.5574,0.2513,1.0588,0.3835,0.3744,0.3676,0.8773,0.6147,0.3668,0.3776,0.4329,0.4875,0.1263,0.4367,0.4341,0.3221,0.8797,0.6841,0.4921,0.432
0.9754,2.7807,2.4223,0.481,0.4934,0.316,2.1212,1.9489,1.4616,0.332,2.5874,1.7851,0.6432,0.4877,0.4905,17.7915,2.4665,2.2987,0.8052,2.2347,1.7806,1.5995,1.1575,2.7543,3.0688,0.6541,0.642,1.1406,1.1395,0.9709,1.3072,1.4394,0.6425,2.7478,0.9624,0.9755,0.9675,2.2961,1.6142,0.9781,0.9815,1.135,1.2961,0.322,1.1294,1.144,0.8194,2.2927,1.8,1.3221,1.1425
1.7816,5.1267,4.4834,0.8992,0.9093,0.5965,3.9051,3.5796,2.7038,0.6021,4.8115,3.2983,1.197,0.9102,0.8816,2.3987,33.631,4.1836,1.4818,4.1587,3.2801,3.0065,2.1015,5.0659,5.6777,1.1847,1.18,2.0822,2.0729,1.7859,2.3538,2.7034,1.1987,5.0631,1.7739,1.7926,1.781,4.1638,2.9785,1.8053,1.7902,2.1067,2.3736,0.5976,2.109,2.0823,1.5278,4.213,3.3034,2.3552,2.1219
1.6804,4.7389,4.206,0.8326,0.8297,0.5571,3.6228,3.3656,2.4791,0.5605,4.4554,3.0698,1.1069,0.846,0.8471,2.2415,4.2054,31.38,1.3922,3.9206,3.0944,2.7636,1.9671,4.7621,5.3486,1.1108,1.0917,1.9468,1.9505,1.6996,2.2354,2.4978,1.1196,4.7442,1.6702,1.6695,1.7024,3.9246,2.8066,1.6566,1.6961,1.9436,2.2434,0.5779,1.9712,1.9467,1.394,3.8907,3.0548,2.2494,1.9665
0.6229,1.7472,1.5598,0.3111,0.313,0.2078,1.345,1.2502,0.9222,0.2098,1.6458,1.1334,0.421,0.3057,0.3047,0.8163,1.5319,1.444,11.1832,1.4648,1.1276,1.0354,0.7277,1.7662,1.9636,0.4124,0.409,0.7215,0.7286,0.6231,0.8311,0.9402,0.4119,1.7607,0.6358,0.6225,0.6073,1.4474,1.0332,0.6197,0.6057,0.7102,0.829,0.2135,0.7146,0.7193,0.5137,1.454,1.1276,0.8303,0.7198
1.6762,4.7975,4.2383,0.8507,0.8561,0.5571,3.6154,3.3726,2.5072,0.5644,4.4633,3.033,1.1265,0.8399,0.8414,2.1816,4.1795,3.9163,1.4132,31.3743,3.0688,2.7919,1.9678,4.7296,5.3426,1.0973,1.1115,1.9764,1.9444,1.68,2.2469,2.4956,1.1127,4.75,1.6825,1.6996,1.6721,3.912,2.8008,1.6902,1.6998,1.9725,2.2487,0.5636,1.9576,1.9334,1.3921,3.9212,3.0466,2.2227,1.9669
1.3296,3.8135,3.3102,0.6681,0.6659,0.4428,2.8651,2.6579,1.9996,0.4496,3.5497,2.4532,0.8793,0.6654,0.667,1.7562,3.3308,3.1371,1.102,3.1071,24.57,2.216,1.5399,3.773,4.234,0.8677,0.8851,1.5417,1.5527,1.3367,1.7686,1.977,0.8772,3.7833,1.326,1.3334,1.3397,3.1028,2.2376,1.3311,1.3406,1.5478,1.7793,0.4244,1.5352,1.5573,1.1276,3.1158,2.4336,1.7691,1.5514
1.2218,3.4719,3.0366,0.6093,0.6072,0.4028,2.627,2.4431,1.8216,0.4015,3.2532,2.2402,0.8073,0.6048,0.609,1.5908,3.0615,2.8196,1.0138,2.8377,2.2289,22.3367,1.4155,3.4463,3.8602,0.8296,0.7758,1.4192,1.4133,1.2184,1.6131,1.8205,0.8123,3.4293,1.2225,1.2223,1.2302,2.8542,2.0333,1.224,1.2084,1.4126,1.6212,0.4107,1.411,1.4132,1.0246,2.8155,2.2152,1.6309,1.4087
0.8606,2.4486,2.1785,0.4335,0.4395,0.2846,1.8537,1.7008,1.29,0.3002,2.2848,1.5746,0.5767,0.4261,0.429,1.1643,2.1736,2.0291,0.7237,2.0285,1.5648,1.4282,15.6505,2.435,2.7212,0.5821,0.5703,1.0072,0.9823,0.8591,1.1415,1.2899,0.5745,2.4648,0.8536,0.8671,0.856,1.9942,1.4109,0.8681,0.8689,1.0195,1.1497,0.2911,1.0161,0.9915,0.7251,2.0173,1.5738,1.1531,1.0221
