"D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
0.5087,1.4396,1.2692,0.264,0.2561,0.1647,1.1013,1.0175,0.7452,0.1684,1.3439,8.2782,0.351,0.2602,0.2521,0.6719,1.2534,1.1862,0.4296,1.1852,0.9193,0.8483,0.58,1.4437,1.5931,0.3306,0.3358,0.5896,0.6084,0.4956,0.6709,0.7438,0.3468,1.4461,0.5079,0.5236,0.498,1.1749,0.8406,0.4903,0.5041,0.5825,0.6684,0.1598,0.5912,0.5866,0.4149,1.1656,0.9304,0.6786,0.5868
0.1957,0.5428,0.4857,0.0925,0.0966,0.0646,0.406,0.3913,0.288,0.0633,0.5102,0.3613,3.0326,0.097,0.0975,0.2559,0.4805,0.4509,0.1688,0.448,0.3482,0.3078,0.2211,0.5508,0.6136,0.1251,0.1289,0.2132,0.2165,0.1853,0.2586,0.2886,0.1301,0.5349,0.1954,0.1973,0.1923,0.4395,0.3105,0.191,0.1829,0.227,0.249,0.064,0.223,0.2269,0.1596,0.4514,0.3478,0.2478,0.2298
0.1427,0.4159,0.3634,0.0726,0.0751,0.0508,0.3076,0.2904,0.2245,0.0507,0.4005,0.2706,0.098,2.3021,0.0754,0.1975,0.3579,0.3324,0.1211,0.3499,0.2704,0.2454,0.1767,0.412,0.4602,0.0977,0.0957,0.1688,0.1684,0.1473,0.1983,0.2154,0.0961,0.4072,0.1439,0.1473,0.1512,0.3446,0.2379,0.1459,0.1438,0.1775,0.1963,0.0505,0.1757,0.1812,0.1252,0.348,0.2649,0.1914,0.1691
0.1454,0.4065,0.3589,0.0739,0.072,0.0472,0.3187,0.2787,0.213,0.0507,0.3794,0.2638,0.0983,0.0743,2.2869,0.1935,0.3598,0.355,0.1141,0.3387,0.2684,0.2398,0.1703,0.4,0.4612,0.0985,0.0994,0.1723,0.1706,0.1488,0.1952,0.2186,0.0961,0.4134,0.1482,0.1436,0.1451,0.342,0.2403,0.1491,0.1422,0.1768,0.1906,0.0462,0.1701,0.172,0.1277,0.3392,0.2661,0.198,0.1696
0.3675,1.0581,0.937,0.1868,0.1852,0.1265,0.8061,0.7292,0.5473,0.1313,0.9947,0.6838,0.2492,0.1933,0.1873,6.0521,0.9364,0.8752,0.3051,0.8766,0.6976,0.6363,0.4414,1.0656,1.2041,0.2518,0.2469,0.4418,0.4392,0.3833,0.4993,0.5677,0.2497,1.0658,0.3755,0.3791,0.3774,0.88,0.6315,0.3696,0.3632,0.4532,0.4951,0.1274,0.4385,0.4453,0.3147,0.8823,0.6781,0.4954,0.4442
0.6889,1.9207,1.7147,0.338,0.3392,0.2223,1.4529,1.3654,1.0125,0.2242,1.8065,1.2356,0.4588,0.3412,0.3423,0.9154,11.3192,1.5889,0.5605,1.5867,1.2668,1.1354,0.785,1.9335,2.1416,0.4462,0.4536,0.801,0.7927,0.6739,0.9166,1.0232,0.4666,1.9238,0.6898,0.6934,0.6728,1.5927,1.1396,0.6748,0.6635,0.805,0.9138,0.2354,0.8137,0.8017,0.5724,1.5612,1.2522,0.8975,0.7971
0.6577,1.804,1.59,0.3184,0.323,0.2095,1.381,1.2625,0.9573,0.2144,1.7078,1.1688,0.4299,0.3197,0.3346,0.8518,1.5841,10.5804,0.5314,1.4899,1.1837,1.0692,0.7477,1.8237,2.0001,0.4315,0.4231,0.7431,0.7387,0.6491,0.8506,0.9585,0.4328,1.8184,0.6404,0.6429,0.6574,1.4916,1.0744,0.632,0.6379,0.7499,0.8643,0.2058,0.7406,0.7609,0.5377,1.4727,1.1731,0.8515,0.7393
0.243,0.6878,0.5981,0.115,0.1166,0.0796,0.5212,0.4744,0.36,0.0821,0.6294,0.4422,0.1684,0.1192,0.1117,0.3094,0.5817,0.5549,3.7837,0.5514,0.4368,0.3877,0.2801,0.6796,0.7472,0.1604,0.1564,0.2809,0.2793,0.2472,0.3127,0.3507,0.1625,0.6743,0.2264,0.2409,0.2362,0.5438,0.3946,0.2437,0.2421,0.2817,0.3212,0.0803,0.2728,0.28,0.2083,0.5476,0.4312,0.319,0.277
0.6276,1.8264,1.5683,0.3246,0.3135,0.2099,1.3744,1.2763,0.9566,0.2195,1.7188,1.1755,0.4293,0.3318,0.3209,0.8503,1.5907,1.4867,0.5297,10.5513,1.1552,1.0645,0.7352,1.7963,2.0039,0.42,0.4296,0.761,0.7315,0.6339,0.852,0.9422,0.4263,1.8022,0.6447,0.6232,0.6395,1.4828,1.0427,0.6255,0.6323,0.7362,0.8546,0.1998,0.7505,0.7433,0.5146,1.4749,1.1692,0.8599,0.7441
0.5165,1.4405,1.2685,0.2559,0.2595,0.1722,1.0973,1.0276,0.7691,0.1714,1.364,0.9256,0.3383,0.2623,0.2585,0.6865,1.2903,1.2054,0.4275,1.1743,8.3259,0.8342,0.6003,1.4433,1.6238,0.3339,0.3476,0.5986,0.5809,0.5073,0.6771,0.756,0.3393,1.4406,0.5246,0.5131,0.5133,1.1842,0.8329,0.5142,0.5178,0.6031,0.6826,0.1735,0.5991,0.5945,0.4334,1.1875,0.9234,0.6922,0.582
0.4673,1.3235,1.1756,0.2307,0.2411,0.1454,1.0049,0.9364,0.6995,0.1504,1.231,0.855,0.3018,0.2347,0.2297,0.6301,1.1614,1.0829,0.3786,1.0811,0.8368,7.5468,0.5376,1.3003,1.4862,0.3107,0.3067,0.5356,0.5223,0.4695,0.6099,0.6983,0.3207,1.3069,0.4607,0.4623,0.4726,1.0881,0.7764,0.4605,0.4723,0.5439,0.6044,0.1491,0.5367,0.5345,0.3902,1.0894,0.8546,0.6116,0.5482
0.3288,0.9281,0.8182,0.1684,0.1642,0.1067,0.6975,0.6587,0.4977,0.1086,0.8797,0.5945,0.2154,0.1736,0.1657,0.4428,0.8154,0.7758,0.2786,0.7631,0.6082,0.5471,5.2788,0.9433,1.0419,0.2176,0.2219,0.3899,0.384,0.3273,0.4319,0.4994,0.2231,0.9362,0.3264,0.3256,0.3405,0.758,0.5383,0.3258,0.321,0.3702,0.4481,0.1069,0.388,0.3814,0.2735,0.7607,0.6034,0.4469,0.394
0.7736,2.1877,1.9309,0.3857,0.3782,0.2467,1.6588,1.5231,1.1404,0.2685,2.0458,1.4045,0.5181,0.3849,0.3745,1.0204,1.9146,1.7988,0.6463,1.7797,1.4131,1.2571,0.9044,12.915,2.4143,0.5207,0.5165,0.8897,0.8893,0.765,1.0048,1.1389,0.5097,2.1637,0.7746,0.7808,0.7761,1.7886,1.2774,0.7598,0.7577,0.8921,1.0303,0.2494,0.8985,0.8893,0.6495,1.8191,1.4285,1.0389,0.9112
0.8398,2.4127,2.1195,0.4167,0.4162,0.2749,1.814,1.6945,1.2592,0.2985,2.2569,1.537,0.5715,0.4258,0.4311,1.1408,2.0925,1.9566,0.7032,1.9594,1.5674,1.4284,0.9911,2.3935,14.3781,0.5629,0.5767,1.0028,0.9807,0.844,1.1541,1.2724,0.5679,2.3974,0.8453,0.8561,0.8461,1.9812,1.395,0.8402,0.8403,0.9933,1.1234,0.2806,0.9809,0.9986,0.7039,1.9838,1.5559,1.1415,0.9824
0.1922,0.5503,0.4822,0.0965,0.0964,0.0644,0.4094,0.3819,0.2841,0.0623,0.517,0.3445,0.1261,0.0978,0.0986,0.2577,0.4704,0.4537,0.1611,0.4388,0.3471,0.3203,0.2214,0.5523,0.602,3.0301,0.1311,0.2219,0.2274,0.1925,0.2513,0.2923,0.1286,0.5457,0.1949,0.1985,0.1961,0.4494,0.3255,0.1906,0.1884,0.2176,0.2556,0.0611,0.2201,0.2249,0.1602,0.4389,0.3556,0.2594,0.2218
0.195,0.5335,0.4764,0.0977,0.095,0.0595,0.4202,0.388,0.2895,0.0674,0.5097,0.3494,0.1294,0.0958,0.1002,0.2541,0.4745,0.443,0.1564,0.4481,0.356,0.3166,0.2233,0.5472,0.615,0.1302,3.0286,0.2253,0.2221,0.1864,0.2586,0.2881,0.1302,0.547,0.199,0.1868,0.1974,0.4509,0.3214,0.1843,0.1859,0.2162,0.2469,0.0643,0.2185,0.2289,0.1617,0.4584,0.3573,0.2533,0.2141
0.33,0.933,0.8326,0.1628,0.1663,0.1087,0.7112,0.6678,0.5011,0.1151,0.8835,0.5999,0.2107,0.1653,0.1681,0.4429,0.8287,0.7675,0.2765,0.7803,0.6067,0.5436,0.3883,0.9272,1.0626,0.2182,0.2224,5.331,0.3793,0.329,0.4406,0.4912,0.2188,0.959,0.3341,0.3365,0.3337,0.7738,0.5499,0.3279,0.3364,0.3871,0.4279,0.1159,0.3954,0.3923,0.2838,0.7641,0.6159,0.4388,0.3855
0.3241,0.9208,0.8141,0.1653,0.1677,0.1108,0.7206,0.6425,0.4855,0.1122,0.8696,0.6188,0.2136,0.1634,0.1681,0.4395,0.8223,0.7605,0.2751,0.7584,0.5902,0.5286,0.3861,0.9301,1.0348,0.2251,0.2188,0.3782,5.272,0.3286,0.4463,0.4978,0.2218,0.9262,0.3347,0.3224,0.3218,0.758,0.5447,0.3276,0.334,0.3811,0.4431,0.1125,0.3813,0.3854,0.2688,0.7647,0.61,0.4422,0.3964
0.2822,0.791,0.7193,0.1374,0.1419,0.0929,0.6166,0.5667,0.4258,0.0983,0.7548,0.5062,0.1814,0.1453,0.1463,0.3891,0.7054,0.6749,0.2458,0.6555,0.5177,0.4782,0.3305,0.8072,0.8898,0.1904,0.183,0.3308,0.3288,4.5448,0.3743,0.4307,0.1936,0.8187,0.2808,0.2837,0.2913,0.6596,0.47,0.2891,0.2817,0.3266,0.3833,0.0932,0.3215,0.3274,0.23,0.661,0.5129,0.3759,0.3304
0.3754,1.072,0.9273,0.1878,0.1864,0.1208,0.812,0.7318,0.5529,0.123,1.0116,0.6823,0.253,0.193,0.1919,0.4999,0.9426,0.8784,0.3114,0.8714,0.6929,0.6158,0.4325,1.0505,1.212,0.2479,0.2536,0.4406,0.4435,0.3741,6.0289,0.5661,0.2543,1.0428,0.3783,0.3779,0.3739,0.873,0.6246,0.3677,0.3612,0.436,0.5038,0.1199,0.4275,0.4453,0.3091,0.88,0.6869,0.4988,0.4344
0.4178,1.1844,1.0524,0.2091,0.2143,0.1397,0.9027,0.8387,0.6297,0.1418,1.1082,0.7497,0.282,0.2108,0.2143,0.5678,1.0514,0.9827,0.3442,0.9657,0.7641,0.7039,0.4953,1.1867,1.3364,0.2859,0.2841,0.4883,0.4958,0.4254,0.5616,6.7918,0.2831,1.1959,0.4328,0.4219,0.4172,0.9834,0.6985,0.4196,0.4116,0.4877,0.5558,0.1377,0.4752,0.4921,0.3542,0.9807,0.7685,0.5461,0.4896
0.1917,0.5431,0.4876,0.096,0.0955,0.0604,0.4111,0.3796,0.2852,0.0645,0.5212,0.3598,0.1304,0.0955,0.095,0.254,0.49,0.453,0.1627,0.4448,0.3476,0.3308,0.2263,0.541,0.6084,0.1289,0.1299,0.2221,0.2253,0.1965,0.2585,0.2896,3.0449,0.5334,0.1938,0.1961,0.192,0.4451,0.3147,0.1877,0.1919,0.2277,0.2517,0.0625,0.2263,0.2264,0.1595,0.4369,0.3563,0.2588,0.2265
0.7691,2.1899,1.9011,0.391,0.3862,0.2562,1.6551,1.5241,1.1447,0.253,2.0282,1.4128,0.5073,0.3843,0.3881,1.0235,1.9059,1.7907,0.6407,1.7793,1.3999,1.2737,0.8907,2.1603,2.4204,0.514,0.5158,0.9139,0.8865,0.7807,0.9994,1.1576,0.5075,12.8367,0.7725,0.7679,0.7716,1.7929,1.2678,0.7643,0.7637,0.8883,1.0096,0.2506,0.9,0.8994,0.6325,1.7672,1.4081,1.0189,0.8863
0.2871,0.7963,0.7161,0.1406,0.1362,0.0935,0.6187,0.5751,0.4169,0.0986,0.7563,0.5199,0.1951,0.1417,0.1466,0.3799,0.7192,0.6647,0.2245,0.6706,0.5383,0.4714,0.3297,0.815,0.9001,0.1939,0.1965,0.336,0.3374,0.2823,0.3817,0.4395,0.1927,0.8148,4.557,0.2873,0.2832,0.6645,0.4734,0.2822,0.2949,0.3422,0.3825,0.095,0.3351,0.3348,0.2305,0.664,0.5106,0.3822,0.3274
0.2888,0.7956,0.7055,0.1467,0.1444,0.0928,0.5986,0.5593,0.4269,0.0972,0.7621,0.5344,0.1946,0.1459,0.1433,0.3795,0.7183,0.6666,0.2409,0.6465,0.5245,0.4723,0.3284,0.8247,0.9096,0.1974,0.1841,0.3397,0.3261,0.2831,0.3813,0.4276,0.1931,0.8086,0.2888,4.567,0.2957,0.6617,0.4755,0.2871,0.2782,0.3286,0.3755,0.0942,0.3423,0.3407,0.2329,0.6658,0.5242,0.39,0.3338
