"D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
0.4668,1.3319,1.1742,0.2313,0.2359,0.159,1.0048,0.9168,0.7035,0.1652,1.2444,7.9177,0.3189,0.2269,0.2311,0.6129,1.1565,1.0707,0.3835,1.0913,0.8663,0.7712,0.5527,1.3141,1.4914,0.3033,0.3136,0.5316,0.5544,0.4581,0.6306,0.6834,0.304,1.307,0.4765,0.4711,0.4735,1.0928,0.7816,0.4687,0.4602,0.5496,0.6101,0.1502,0.5442,0.5413,0.3984,1.1,0.8426,0.611,0.5392
0.1627,0.4937,0.4343,0.0894,0.0873,0.0614,0.3705,0.3572,0.2568,0.0577,0.4815,0.3308,2.8644,0.0901,0.0884,0.2343,0.4332,0.4034,0.1513,0.4072,0.3094,0.2901,0.2037,0.4965,0.5515,0.1159,0.1193,0.1988,0.2013,0.1761,0.2293,0.2624,0.115,0.4892,0.1745,0.1784,0.1758,0.4129,0.2808,0.1686,0.1764,0.2032,0.2308,0.0593,0.2009,0.2003,0.1445,0.3953,0.3225,0.2276,0.1993
0.1346,0.3594,0.3328,0.0615,0.0614,0.046,0.2861,0.268,0.1905,0.046,0.3412,0.2336,0.09,2.157,0.0652,0.1738,0.3328,0.3061,0.1078,0.3099,0.2393,0.2231,0.1514,0.3851,0.4156,0.0865,0.0857,0.1526,0.1532,0.1327,0.1765,0.1946,0.0874,0.3749,0.1307,0.1276,0.1288,0.3079,0.2224,0.1358,0.1299,0.1578,0.1723,0.0458,0.1546,0.1594,0.1145,0.3069,0.233,0.1654,0.156
0.1313,0.3696,0.3211,0.0748,0.0634,0.0413,0.2906,0.2613,0.2016,0.0439,0.3583,0.24,0.0893,0.0656,2.1608,0.1788,0.3369,0.3067,0.1126,0.3141,0.2408,0.2154,0.158,0.3767,0.4107,0.0815,0.0831,0.1522,0.1602,0.1317,0.171,0.1959,0.0884,0.3793,0.1269,0.1319,0.1367,0.3038,0.2232,0.1314,0.1335,0.1543,0.1726,0.0414,0.156,0.1542,0.1029,0.3063,0.2393,0.185,0.1509
0.3394,0.9884,0.8539,0.1692,0.1706,0.1138,0.737,0.6779,0.5288,0.1168,0.917,0.6229,0.2283,0.1696,0.1736,5.7577,0.8754,0.7947,0.281,0.8107,0.6213,0.5789,0.4054,0.9648,1.086,0.238,0.23,0.4053,0.4025,0.3476,0.4693,0.5163,0.224,0.9778,0.3483,0.3351,0.3567,0.7991,0.5693,0.3367,0.3415,0.4041,0.4615,0.1165,0.4001,0.4018,0.2822,0.7963,0.6291,0.4601,0.4008
0.6317,1.7859,1.5668,0.3109,0.3045,0.2071,1.3425,1.2374,0.9306,0.2089,1.6733,1.1367,0.4125,0.3151,0.3187,0.8436,10.7786,1.4549,0.5211,1.4776,1.1338,1.0338,0.7276,1.759,1.9758,0.4133,0.4116,0.7218,0.7211,0.6207,0.8306,0.9147,0.4082,1.7683,0.6355,0.6244,0.6333,1.4359,1.0168,0.6218,0.6245,0.7332,0.8353,0.2068,0.7231,0.7184,0.5312,1.4413,1.151,0.8243,0.7278
0.5932,1.6452,1.4451,0.3083,0.2864,0.1969,1.2713,1.1749,0.8584,0.1962,1.5693,1.0569,0.3854,0.29,0.292,0.7766,1.4593,10.0694,0.4877,1.369,1.0741,0.9787,0.6908,1.6664,1.8638,0.3912,0.3917,0.6719,0.6963,0.5648,0.7925,0.8607,0.3861,1.6598,0.5888,0.5843,0.5945,1.3838,0.973,0.5828,0.5808,0.6937,0.7777,0.1893,0.6738,0.6926,0.4924,1.3549,1.0775,0.7856,0.6729
0.2088,0.6252,0.5419,0.1103,0.0998,0.0718,0.4587,0.4385,0.3313,0.0764,0.5806,0.3923,0.1505,0.1066,0.1113,0.2846,0.5444,0.5046,3.6094,0.5186,0.3934,0.3579,0.2621,0.617,0.6969,0.1394,0.1495,0.2485,0.2531,0.2155,0.2866,0.3305,0.1421,0.6274,0.22,0.2112,0.2176,0.5045,0.3611,0.2163,0.2159,0.2575,0.2995,0.0778,0.258,0.2593,0.182,0.5084,0.4046,0.2851,0.2538
0.5898,1.657,1.4691,0.2935,0.2913,0.1986,1.2552,1.1632,0.8718,0.2025,1.5507,1.0744,0.3903,0.2946,0.2985,0.7906,1.4753,1.3739,0.4938,10.0921,1.068,0.9732,0.6873,1.673,1.8219,0.389,0.3892,0.6815,0.6896,0.5775,0.7893,0.8679,0.3834,1.6843,0.5928,0.5952,0.5914,1.349,0.9726,0.5828,0.5774,0.6715,0.7976,0.1995,0.6869,0.6876,0.4776,1.3586,1.0726,0.7837,0.6791
0.4701,1.322,1.1711,0.2298,0.2323,0.1533,0.9986,0.9306,0.7093,0.1604,1.2376,0.8685,0.3021,0.2321,0.2314,0.6108,1.1564,1.0891,0.3843,1.0846,7.8942,0.7669,0.5437,1.3341,1.4524,0.3059,0.3068,0.5237,0.5456,0.461,0.6144,0.6878,0.3085,1.3103,0.4664,0.4563,0.4671,1.082,0.7627,0.4725,0.4668,0.546,0.6338,0.1554,0.5549,0.5499,0.3893,1.0751,0.8525,0.6204,0.5264
0.4251,1.201,1.0751,0.2095,0.2213,0.139,0.9263,0.8471,0.6433,0.1445,1.1485,0.7781,0.2824,0.2169,0.208,0.5738,1.0582,1.0001,0.3479,0.994,0.7675,7.1824,0.4989,1.2015,1.3277,0.2839,0.2759,0.4984,0.4871,0.4325,0.5706,0.6312,0.2696,1.2088,0.4239,0.4217,0.4144,0.9905,0.6946,0.4336,0.4229,0.5065,0.5676,0.1438,0.5017,0.4995,0.3531,0.9993,0.7676,0.5575,0.4859
0.296,0.8446,0.7462,0.1523,0.1476,0.098,0.6509,0.5913,0.4577,0.1007,0.8058,0.5627,0.1999,0.1491,0.1552,0.4056,0.7545,0.7082,0.2587,0.7089,0.5534,0.5044,5.035,0.8598,0.9459,0.1963,0.2057,0.3523,0.3509,0.3061,0.4076,0.4505,0.1942,0.867,0.3084,0.3069,0.3021,0.6908,0.4956,0.3007,0.2919,0.3475,0.4018,0.1033,0.3557,0.3501,0.2535,0.7049,0.5528,0.3994,0.3562
0.6991,1.9691,1.7411,0.3431,0.3446,0.2381,1.5161,1.4084,1.0505,0.2421,1.8846,1.2861,0.4662,0.361,0.3544,0.9268,1.744,1.6475,0.5848,1.6504,1.2996,1.1641,0.8261,12.2386,2.2327,0.4527,0.464,0.8236,0.8306,0.7104,0.9249,1.0426,0.4649,1.9799,0.7097,0.6886,0.7092,1.6491,1.1691,0.7176,0.6951,0.8215,0.9518,0.2361,0.7983,0.839,0.5891,1.6308,1.2753,0.9473,0.8168
0.772,2.1953,1.9409,0.391,0.3785,0.2605,1.6953,1.5645,1.1701,0.2641,2.0714,1.4352,0.5128,0.3918,0.3879,1.0388,1.9407,1.8268,0.6577,1.7871,1.4031,1.2755,0.9013,2.214,13.6694,0.5069,0.5224,0.9078,0.9011,0.7911,1.0434,1.1848,0.5179,2.1747,0.7771,0.775,0.7816,1.8203,1.2823,0.7886,0.7791,0.899,1.0421,0.2519,0.9017,0.9035,0.6444,1.8072,1.4301,1.0235,0.9038
