"D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
3.5613,10.0851,8.8889,1.7703,1.7953,1.1738,7.6948,7.1498,5.3635,1.1841,9.5281,52.9744,2.3944,1.793,1.7942,4.772,8.9254,8.3668,2.9852,8.321,6.5487,5.9701,4.1818,10.0939,11.29,2.3733,2.3858,4.1695,4.2087,3.571,4.763,5.3478,2.3831,10.1456,3.5916,3.6033,3.5541,8.3724,5.9673,3.5529,3.5598,4.1997,4.7228,1.1727,4.1879,4.2193,2.9692,8.324,6.5601,4.7679,4.1706
1.353,3.8445,3.4108,0.6764,0.6893,0.4412,2.9045,2.6981,2.021,0.4544,3.6015,2.4863,19.2693,0.6857,0.673,1.7863,3.3722,3.1476,1.1314,3.1727,2.4827,2.2612,1.5698,3.8162,4.2738,0.8933,0.9013,1.5826,1.59,1.3462,1.8074,2.032,0.9005,3.8314,1.3398,1.3572,1.3534,3.1738,2.2407,1.3418,1.3514,1.563,1.8041,0.4525,1.5647,1.5891,1.1442,3.1674,2.4875,1.8139,1.5817
1.0122,2.8583,2.5353,0.5058,0.5163,0.323,2.1909,2.0195,1.5241,0.3396,2.7237,1.8747,0.6923,14.3986,0.5105,1.3544,2.5243,2.3643,0.8504,2.3578,1.8835,1.6831,1.1832,2.8658,3.216,0.6755,0.6709,1.1849,1.2057,1.016,1.352,1.5143,0.6857,2.8799,1.0034,1.0045,0.9997,2.3999,1.6749,1.0095,1.0261,1.181,1.3792,0.3357,1.183,1.1867,0.8548,2.3773,1.8499,1.3486,1.1924
1.0262,2.8794,2.5587,0.5121,0.5143,0.3356,2.1888,2.0238,1.5158,0.3331,2.7125,1.875,0.6787,0.5089,14.4221,1.3552,2.5625,2.3832,0.854,2.3715,1.8649,1.6989,1.1759,2.8741,3.2183,0.6773,0.6655,1.1663,1.1885,1.0205,1.3509,1.5241,0.6802,2.8986,1.0205,1.0196,1.0247,2.3894,1.6951,1.0131,1.0086,1.1873,1.3626,0.3352,1.1992,1.1839,0.8392,2.3701,1.8726,1.3746,1.199
2.6373,7.4857,6.6398,1.336,1.323,0.8748,5.7156,5.2916,3.9761,0.895,7.0611,4.8523,1.7468,1.3205,1.3176,38.5486,6.5756,6.1714,2.2332,6.1583,4.8764,4.361,3.0812,7.4663,8.3751,1.7734,1.7449,3.0729,3.0824,2.6567,3.5383,3.9707,1.7726,7.4734,2.6538,2.6162,2.6589,6.166,4.4098,2.6183,2.622,3.0977,3.5398,0.8792,3.091,3.0534,2.2207,6.1804,4.8484,3.5265,3.0849
4.7741,13.4995,11.9095,2.3502,2.3603,1.5758,10.2986,9.5084,7.0817,1.581,12.7371,8.724,3.1671,2.3533,2.3962,6.3321,72.1981,11.1468,3.9954,11.0921,8.7516,7.8957,5.5983,13.4542,15.0945,3.1567,3.1856,5.5103,5.5406,4.768,6.3536,7.141,3.1834,13.5028,4.7832,4.7499,4.762,11.1266,7.9681,4.731,4.7457,5.5239,6.3447,1.5884,5.5332,5.584,3.9925,11.0922,8.7629,6.3305,5.5401
4.4952,12.6845,11.231,2.222,2.228,1.496,9.6925,8.9116,6.6848,1.5042,11.8996,8.2261,2.974,2.219,2.2272,5.9707,11.2279,67.4821,3.7669,10.4373,8.3257,7.4491,5.2228,12.6839,14.173,2.9698,2.974,5.2194,5.2478,4.5257,5.9653,6.7209,2.9781,12.6786,4.5014,4.4346,4.4791,10.4882,7.4601,4.4789,4.4729,5.1897,5.9468,1.4925,5.2292,5.2429,3.7561,10.4334,8.2419,5.9918,5.2508
1.6773,4.732,4.1756,0.8492,0.8384,0.5626,3.6554,3.3391,2.4921,0.5566,4.5098,3.0795,1.1288,0.8391,0.8423,2.2694,4.2251,3.9662,24.1284,3.9527,3.1007,2.7916,1.9741,4.7596,5.3669,1.1529,1.1038,1.9552,1.9465,1.6999,2.2447,2.532,1.1179,4.7906,1.6748,1.6745,1.7057,3.9544,2.7838,1.695,1.6644,1.9554,2.2444,0.5606,1.9677,1.9681,1.3915,3.9069,3.1114,2.2448,1.9894
4.4828,12.7031,11.1867,2.2366,2.263,1.461,9.6785,8.9301,6.6635,1.4987,11.9565,8.183,2.9923,2.2143,2.2223,5.9459,11.1532,10.4393,3.7447,67.4271,8.2032,7.4184,5.194,12.6913,14.1696,2.9708,2.9855,5.2198,5.1989,4.4841,5.9716,6.7212,2.973,12.6412,4.5025,4.4602,4.4958,10.5237,7.4185,4.4634,4.4733,5.2017,5.9711,1.4914,5.2186,5.2192,3.7092,10.3771,8.1895,5.9691,5.1926
3.5916,10.1344,8.9614,1.8031,1.785,1.1912,7.7321,7.142,5.373,1.209,9.534,6.5504,2.3927,1.8049,1.7817,4.7922,8.9537,8.47,3.0101,8.3292,53.1086,5.9471,4.175,10.1442,11.3394,2.358,2.3825,4.1631,4.1656,3.6174,4.7812,5.3516,2.4087,10.1037,3.6143,3.5331,3.6062,8.4293,5.9324,3.5625,3.5381,4.1824,4.8103,1.2207,4.2182,4.2004,2.9918,8.396,6.5655,4.7845,4.2068
