"image","side","z","roi","Area","brain.number","genotype","chat.fluo","chat.slice.fluo","chat.norm.f","mz19.fluo","mz19.slice.fluo","mz19.norm.f","kc.fluo","kc.slice.fluo","kc.norm.f","sampleid"
"11","L","5/","nonmz19",4.273,"06E","empty",78.321,61.55,1.27247766043867,32.736,28.453,1.15052894246652,28.009,33.984,0.824181967984934,"11L"
"11","L","5/","nonmz19",3.407,"06E","empty",81.941,61.55,1.33129163281885,32.84,28.453,1.15418409306576,38.645,33.984,1.13715277777778,"11L"
"11","L","5/","nonmz19",5.16,"06E","empty",82.938,61.55,1.34748984565394,36.328,28.453,1.27677222085545,24.859,33.984,0.731491290018832,"11L"
"11","L","7/","nonmz19",1.774,"06E","empty",93,66.056,1.40789633038634,38.977,32.562,1.19700878324427,33.58,42.196,0.795810029386672,"11L"
"11","L","7/","nonmz19",5.967,"06E","empty",94.324,66.056,1.42793992975657,40.946,32.562,1.25747804188932,54.314,42.196,1.28718361930041,"11L"
"11","L","7/","nonmz19",6.108,"06E","empty",97.479,66.056,1.47570243429817,38.053,32.562,1.16863214790246,50.947,42.196,1.20738932600246,"11L"
"11","L","9/","nonmz19",5.201,"06E","empty",108.016,66.713,1.61911471527289,44.264,34.46,1.28450377248984,61.213,45.583,1.34289099006208,"11L"
"11","L","9/","nonmz19",1.532,"06E","empty",123.316,66.713,1.84845532355013,47.368,34.46,1.37457922228671,50.711,45.583,1.11249808042472,"11L"
"11","L","9/","nonmz19",4.233,"06E","empty",122.876,66.713,1.84185990736438,59.81,34.46,1.73563551944283,53.424,45.583,1.17201588311432,"11L"
"11","L","9/","nonmz19",2.52,"06E","empty",104.992,66.713,1.57378621857809,41.44,34.46,1.20255368543239,49.264,45.583,1.08075378979005,"11L"
"11","L","9/","nonmz19",3.83,"06E","empty",80.926,66.713,1.21304693238199,47.737,34.46,1.38528728961114,61.805,45.583,1.35587828795823,"11L"
"11","L","11","nonmz19",3.769,"06E","empty",83.273,63.401,1.3134335420577,40.588,33.803,1.20072182942342,68.529,48.983,1.39903640038381,"11L"
"11","L","11","nonmz19",4.011,"06E","empty",93.769,63.401,1.47898298134099,38.392,33.803,1.13575718131527,76.01,48.983,1.55176285650124,"11L"
"11","L","11","nonmz19",4.918,"06E","empty",93.656,63.401,1.47720067506822,47.541,33.803,1.40641363192616,40.693,48.983,0.830757609782986,"11L"
"11","L","11","nonmz19",2.096,"06E","empty",101.385,63.401,1.59910726960143,39.808,33.803,1.17764695441233,40.952,48.983,0.836045158524386,"11L"
"11","L","11","nonmz19",6.148,"06E","empty",88.144,63.401,1.39026198324948,40.393,33.803,1.19495311067065,56.289,48.983,1.14915378804892,"11L"
"11","L","11","nonmz19",4.374,"06E","empty",78.359,63.401,1.23592687812495,59.862,33.803,1.77090790758217,55.3,48.983,1.12896310965029,"11L"
"11","L","11","nonmz19",3.548,"06E","empty",95.682,63.401,1.50915600700304,40.114,33.803,1.18669940537822,51.898,48.983,1.05951044239838,"11L"
"11","L","11","nonmz19",5.019,"06E","empty",79.406,63.401,1.25244081323638,35.703,33.803,1.05620802887318,34.016,48.983,0.694445011534614,"11L"
"11","L","11","nonmz19",3.467,"06E","empty",89.023,63.401,1.40412611788458,49.128,33.803,1.45336212762181,64.11,48.983,1.30882142784231,"11L"
"11","L","13","nonmz19",2.882,"06E","empty",90.294,61.158,1.4764053762386,84.615,31.974,2.64636892475136,58.42,51.01,1.14526563418937,"11L"
"11","L","13","nonmz19",3.265,"06E","empty",94.222,61.158,1.54063246018509,55.185,31.974,1.72593357102646,77.006,51.01,1.50962556361498,"11L"
"11","L","13","nonmz19",2.479,"06E","empty",93.886,61.158,1.53513849373753,39.431,31.974,1.23322074185276,54.585,51.01,1.07008429719663,"11L"
"11","L","13","nonmz19",2.822,"06E","empty",113.714,61.158,1.85934791850616,47.929,31.974,1.49899918683931,59.936,51.01,1.17498529700059,"11L"
"11","L","13","nonmz19",4.818,"06E","empty",87.582,61.158,1.43206121848327,33.222,31.974,1.03903171326703,62.18,51.01,1.21897667124093,"11L"
"11","L","15","nonmz19",2.298,"06E","empty",84.105,65.084,1.29225308831664,32.632,30.872,1.05700958797616,56.526,40.666,1.39000639354744,"11L"
"11","L","15","nonmz19",1.774,"06E","empty",95,65.084,1.45965214184746,45.341,30.872,1.46867711842446,46.125,40.666,1.13423990557222,"11L"
"11","L","15","nonmz19",1.552,"06E","empty",82.649,65.084,1.2698819986479,26.623,30.872,0.862367193573465,26.662,40.666,0.655633698913097,"11L"
"11","L","9/","nonmz19",4.475,"06E","empty",96.523,66.713,1.44683944658462,43.063,34.46,1.24965177016831,48.977,45.583,1.07445758287081,"11L"
"11","L","9/","nonmz19",3.528,"06E","empty",78.4,66.713,1.17518324764289,37.371,34.46,1.0844747533372,62.566,45.583,1.37257310839567,"11L"
"11","L","9/","nonmz19",4.616,"06E","empty",76.891,66.713,1.15256396804221,31.092,34.46,0.902263493905978,46.847,45.583,1.02772963604853,"11L"
"11","L","9/","nonmz19",4.777,"06E","empty",101.266,66.713,1.51793503515057,43.038,34.46,1.24892629135229,55.865,45.583,1.22556654893272,"11L"
"12","L","5/","nonmz19",8.406,"11D","dpr4",109.269,55.137,1.98177267533598,45.676,40.042,1.14070226262424,22.189,32.144,0.690299900447984,"12L"
"12","L","5/","nonmz19",4.918,"11D","dpr4",81.307,55.137,1.47463590692276,38.176,40.042,0.953398931122322,21.07,32.144,0.655487804878049,"12L"
"12","L","5/","nonmz19",5.039,"11D","dpr4",108.82,55.137,1.97362932332191,51.988,40.042,1.29833674641626,23.932,32.144,0.744524639123942,"12L"
"12","L","7/","nonmz19",3.386,"11D","dpr4",111.077,62.042,1.79035169723736,61.589,42.097,1.46302586882676,24.667,37.175,0.663537323470074,"12L"
"12","L","7/","nonmz19",2.782,"11D","dpr4",92.348,62.042,1.48847554882177,70.732,42.097,1.68021474214315,34.384,37.175,0.924922663080027,"12L"
"12","L","7/","nonmz19",1.633,"11D","dpr4",86.642,62.042,1.3965055929854,102.951,42.097,2.44556619236525,74.63,37.175,2.00753194351042,"12L"
"12","L","9/","nonmz19",3.044,"11D","dpr4",88.762,63.314,1.40193322172031,42.51,45.038,0.943869621208757,39.682,41.391,0.95871083085695,"12L"
"12","L","9/","nonmz19",3.931,"11D","dpr4",92.441,63.314,1.46004043339546,48.097,45.038,1.06792042275412,23.872,41.391,0.576743736561088,"12L"
"12","L","9/","nonmz19",2.52,"11D","dpr4",116.064,63.314,1.83314906655716,88.624,45.038,1.96776055775123,33.528,41.391,0.81003116619555,"12L"
"12","L","9/","nonmz19",2.762,"11D","dpr4",115.204,63.314,1.81956597277064,62.577,45.038,1.38942670633687,35.124,41.391,0.848590273247808,"12L"
"12","L","9/","nonmz19",2.036,"11D","dpr4",94.624,63.314,1.49451937960009,49.149,45.038,1.09127847595364,46.931,41.391,1.13384552197338,"12L"
"12","L","9/","nonmz19",2.076,"11D","dpr4",121.777,63.314,1.92338187446694,103.621,45.038,2.30074603668014,88.922,41.391,2.14834142688024,"12L"
"12","L","9/","nonmz19",4.213,"11D","dpr4",121.545,63.314,1.9197175980036,62.928,45.038,1.39722012522759,81.201,41.391,1.96180329057041,"12L"
"12","L","11","nonmz19",2.217,"11D","dpr4",134.327,64.203,2.09222310483934,67.218,47.105,1.42698227364399,25.782,43.639,0.590801805724237,"12L"
"12","L","11","nonmz19",3.165,"11D","dpr4",106.516,64.203,1.65905020014641,50.172,47.105,1.06510986094894,36.159,43.639,0.828593689131282,"12L"
"12","L","11","nonmz19",4.273,"11D","dpr4",94.061,64.203,1.46505615002414,57.811,47.105,1.22727948200828,38.604,43.639,0.884621554114439,"12L"
"12","L","11","nonmz19",2.701,"11D","dpr4",102.925,64.203,1.60311823435042,96.694,47.105,2.05273325549305,40.784,43.639,0.934576869314146,"12L"
"12","L","11","nonmz19",1.512,"11D","dpr4",80.147,64.203,1.24833730511035,58.707,47.105,1.246300817323,70.747,43.639,1.62118746992369,"12L"
"12","L","11","nonmz19",2.822,"11D","dpr4",125.186,64.203,1.94984658037786,60.264,47.105,1.27935463326611,74.443,43.639,1.70588235294118,"12L"
"12","L","11","nonmz19",4.717,"11D","dpr4",120.47,64.203,1.87639206890644,55.726,47.105,1.18301666489757,43.662,43.639,1.00052705149064,"12L"
"12","L","13","nonmz19",2.499,"11D","dpr4",84.161,64.093,1.31310751564133,47.895,44.071,1.08676907717093,120.363,47.881,2.51379461581838,"12L"
"12","L","13","nonmz19",3.145,"11D","dpr4",84.814,64.093,1.32329583573869,124.442,44.071,2.82367089469265,48.34,47.881,1.009586265951,"12L"
"12","L","13","nonmz19",3.487,"11D","dpr4",92.983,64.093,1.45075125208681,75.549,44.071,1.71425654058224,43.671,47.881,0.912073682671623,"12L"
"12","L","13","nonmz19",3.971,"11D","dpr4",103.244,64.093,1.61084673833336,54.995,44.071,1.2478727507885,51.381,47.881,1.07309788851528,"12L"
"12","L","15","nonmz19",2.217,"11D","dpr4",104.173,65.045,1.60155277115843,88.818,42.902,2.07025313505198,36.391,48.817,0.745457525042506,"12L"
"12","L","15","nonmz19",3.608,"11D","dpr4",110.944,65.045,1.70564993466062,55.626,42.902,1.29658290988765,25.575,48.817,0.523895364319807,"12L"
"12","L","15","nonmz19",2.278,"11D","dpr4",84.965,65.045,1.30624951956338,46.292,42.902,1.07901729523099,54.593,48.817,1.11831943790073,"12L"
"12","L","15","nonmz19",2.399,"11D","dpr4",99.966,65.045,1.53687447151972,40.95,42.902,0.954500955666403,28.042,48.817,0.574431038367782,"12L"
"12","L","17","nonmz19",3.709,"11D","dpr4",78.158,69.874,1.11855625840799,46.332,42.357,1.0938451731709,49.44,48.106,1.02773042863676,"12L"
